"","continent","location","lat","long","total_cases","total_deaths","case_fatality_rate","total_tests","positive_rate","hospital_beds_per_thousand","num_physicians_per_thousand","handwashing_facilities","gdp_per_capita","current_health_exp","govt_health_exp","population","population_density","pop_young","pop_working","pop_old","extreme_poverty","human_development_index","annual_intl_arrivals_thousands","total_cases_log","total_deaths_log","total_tests_log","gdp_per_capita_log","population_log","population_density_log","annual_intl_arrivals_thou_log","deaths_per_test","deaths_per_population"
"180","Africa","Tanzania",-6.369028,34.888822,509,21,0.0412573673870334,471022,0.114,0.7,1.68,47.953,2683.304,4.8025,5.1353,59734213,64.699,43.84380657,53.53565232,2.620541103,49.1,0.529,1364,6.23244801655052,3.04452243772342,13.0626600810372,7.89480415000773,17.9054154962911,4.16974574543687,7.21817683840341,4.45839047857637e-05,3.51557322769114e-07
"181","Asia","Thailand",15.870032,100.992541,28657,93,0.00324528038524619,3112999,0.01,2.1,8.05,90.67,16277.671,3.746,15.0278,69799978,135.132,16.82353621,70.77021345,12.40625033,0.1,0.777,38178,10.2631530203974,4.53259949315326,14.9510971281902,9.69754957035456,18.0611442525463,4.90625207850289,10.5500147124608,2.987472851742e-05,1.33237864344313e-06
"182","Asia","Timor",-8.874217,125.727539,480,3450,0.0111177342634759,2145944,0.186,5.9,23.74,28.178,6570.102,7.6017,9.519,1318442,87.176,25.34019489,66.60697097,6.092974373,30.3,0.606,4150,6.17378610390194,8.14612951002541,14.5790901067717,8.7902846364723,14.091961294426,4.46792906367458,8.33086361322474,0.0016076840774969,0.00261672489195581
"183","Africa","Togo",8.6195,0.8248,9676,107,0.0110582885489872,267671,0.105,0.7,0.77,10.475,1429.813,6.1995,5.0529,8278737,143.366,40.9983537,56.11429871,2.887347591,49.2,0.515,573,9.17740387172992,4.67282883446191,12.4975138934199,7.26529894547214,15.9292009784947,4.96540080102939,6.35088571671474,0.000399744462418417,1.29246767955064e-05
"184","North America","Trinidad and Tobago",10.6918,-61.2225,7954,142,0.0178526527533317,107309,0.027,3,41.68,89.443,28763.071,6.9787,11.2112,1399491,266.886,20.26118068,68.62061129,11.11820802,1.6,0.796,375,8.98143022576764,4.95582705760126,11.5834678020817,10.2668475863847,14.1516191570488,5.58682160093205,5.92692602597041,0.00132328136502996,0.000101465461371313
"185","Africa","Tunisia",33.886917,9.537499,249703,8705,0.0348614153614494,1218744,0.043,2.3,13.03,78.687,10849.297,7.2325,13.6278,11818618,74.228,24.22609727,67.18043418,8.593468556,2,0.74,8299,12.428027490613,9.07165285220229,14.0133313782052,9.29185556424274,16.2851866426327,4.30714143748209,9.02389030459845,0.00714259926612972,0.000736549738725797
"186","Asia","Turkey",38.9637,35.2433,3179115,30923,0.00972692085690515,37212928,0.119,2.81,18.49,94.576,25129.341,4.2163,9.689,84339067,104.914,24.29082287,66.9828933,8.726283826,0.2,0.82,45768,14.9721134141364,10.3392555225743,17.4321667857516,10.1317914065567,18.2503557438549,4.65314096693571,10.7313404359484,0.000830974654829633,0.000366650961410327
"187","North America","Turks and Caicos Islands",21.694,-71.7979,11809,414,0.0211400528501321,2843469,0.04,2.5,23.11,85.198,9673.367,5.8769,13.3156,38718,37.312,26.85844526,65.42821497,8.469582569,3.2,0.738,489,9.37661723160128,6.02586597382531,14.8605353436122,9.17713171812239,10.5640598871639,3.61931499072803,6.19236248947487,0.000145596804466657,0.0106927010692701
"188","Africa","Uganda",1.373333,32.290275,40767,335,0.0082174307650796,924770,0.007,0.5,1.68,21.222,1697.707,6.2654,5.1353,45741000,213.759,46.50001534,51.53743447,1.962550187,41.6,0.544,1402,10.6156282095886,5.81413053182507,13.7373003369277,7.43703379603363,17.6385056090222,5.36484921219363,7.24565506759454,0.000362252235691037,7.32384512800332e-06
"189","Europe","Ukraine",48.3794,31.1656,1694459,33363,0.0196894702084854,7889544,0.299,8.8,29.92,86.979,7894.393,6.9953,7.4239,43733759,77.39,15.93971837,67.35529124,16.70499039,0.1,0.779,14104,14.3428740738085,10.415202780487,15.8810488964751,8.97390803963014,17.5936308789905,4.34885757328237,9.55421372407771,0.00422876151017093,0.000762866050457725
