continent,location,lat,long,total_cases,total_deaths,case_fatality_rate,total_tests,positive_rate,hospital_beds_per_thousand,num_physicians_per_thousand,handwashing_facilities,gdp_per_capita,current_health_exp_%gdp,govt_health_exp_%totalgovtexp,population,population_density,0_to_14(%),15_to_64(%),65_and_above(%),extreme_poverty,human_development_index,annual_intl_arrivals_thousands,total_cases_log,total_deaths_log,total_tests_log,gdp_per_capita_log,population_log,population_density_log,annual_intl_arrivals_thou_log
Europe,Austria,47.5162,14.5501,533786,9231,0.017293447186700287,21147134,0.038,7.37,51.7,97.164,45436.686,10.396600000000001,15.305400000000002,9006400,106.74900000000001,14.361857630000001,66.56253608,19.075606289999996,0.7,0.922,30816,13.187750288557295,9.130322663990151,16.867014946000253,10.724075119397385,16.0134459936919,4.670480284383358,10.335789314597852
Asia,Azerbaijan,40.143100000000004,47.5769,254370,3464,0.01361795809254236,3112999,0.03,4.7,34.46,83.24100000000001,15847.419,6.6518,2.8143,10139175,119.309,23.441919849999998,70.11169103,6.446389120000001,0.7,0.756,2633,12.446545178966158,8.150179269682326,14.951097128190156,9.670761926928979,16.131917191870585,4.781716766325469,7.87587915949631
North America,Bahamas,25.025885000000002,-78.035889,8935,188,0.021040850587576945,1284835,0.054000000000000006,2.9,20.07,87.202,27717.847,5.7589,11.2508,393248,39.497,21.078635799999997,68.62061129,9.880435323000002,1.6,0.8140000000000001,1633,9.097731427593528,5.236441962829949,14.066140863397612,10.229831780734735,12.882195735084323,3.6762247196556883,7.398174092970465
Asia,Bahrain,26.0275,50.55,140818,513,0.003643000184635487,3483259,0.048,2,9.26,95.803,43290.704999999994,4.7481,8.4938,1701583,1935.9070000000002,18.71869615,78.76249412,2.5188097289999996,0.2,0.8520000000000001,12045,11.855223555444217,6.240275845170769,15.06347890776637,10.675693225819703,14.347069552221173,7.568331229492617,9.396404915048972
Asia,Bangladesh,23.685,90.35629999999999,591806,8869,0.01498632997975688,4511802,0.118,0.8,5.81,34.808,3523.984,2.2742,2.9945,164689383,1265.036,27.214365380000004,67.60528327,5.180351347999999,14.8,0.632,1026,13.290934157457176,9.090317329376452,15.322207188218423,8.167347446750643,18.91957173041068,7.142855859254709,6.933423025730715
North America,Barbados,13.1939,-59.5432,3609,41,0.011360487669714602,802126,0.09,5.8,24.84,88.46900000000001,16978.068000000003,6.779100000000001,9.0803,287371,664.463,17.05043115,66.71857852,16.23099033,2.2,0.8140000000000001,680,8.19118600464279,3.713572066704308,13.595020981740523,9.739677672473071,12.568529342873353,6.498979195639928,6.522092798170152
Europe,Belarus,53.7098,27.9534,317631,2211,0.0069609074680997765,5272490,0.07500000000000001,11,51.91,86.979,17167.967000000004,5.9258,10.6191,9449321,46.858,17.03632015,67.76283849999999,15.20084135,1,0.8230000000000001,11502,12.668645610644756,7.701200180857446,15.478013294699792,9.75080054268783,16.061453445036605,3.847121751844448,9.3502762122737
Europe,Belgium,50.8333,4.469936,866063,22870,0.026406854928567553,10770769,0.07700000000000001,5.64,30.71,97.164,42658.576,10.3387,15.3139,11589616,375.564,17.05820304,63.93523089000001,19.006566069999998,0.2,0.931,9119,13.671712933166443,10.037581287016828,16.192346448626278,10.66098361125255,16.265620082756705,5.928428896095157,9.118115427933665
North America,Belize,17.1899,-88.49760000000002,12415,317,0.02553362867498993,802126,0.132,1.3,11.229999999999999,90.083,7824.362000000001,5.642799999999999,10.991,397621,16.426,29.704395760000004,65.42821497000001,4.867389259999999,3.2,0.716,489,9.426660697942268,5.75890177387728,13.595020981740523,8.964997478537988,12.893254569271202,2.7988654453180004,6.192362489474872
Africa,Benin,9.3077,2.3157999999999994,7100,90,0.01267605633802817,267671,0.07800000000000001,0.5,0.7899999999999999,11.035,2064.236,3.7186,4.575200000000001,12123198,99.11,42.20551877000001,54.52959631000001,3.264884925,49.6,0.545,295,8.867850063029406,4.499809670330265,12.497513893419907,7.632515461150281,16.31063136518629,4.596230344418617,5.68697535633982
North America,Bermuda,32.30779999999999,-64.7505,7954,188,0.021040850587576945,2091666,0.054000000000000006,2.9,26.759999999999998,87.202,50669.315,5.7589,11.211199999999998,62273,1308.82,20.26118068,66.71857852,11.118208019999997,1.3,0.7959999999999999,375,8.981430225767635,5.236441962829949,14.553471435588861,10.83307577953113,11.039283223998446,7.176881246905321,5.926926025970411
Asia,Bhutan,27.514200000000002,90.43360000000001,871,1,0.001148105625717566,584052,0,1.7,4.24,79.807,8708.597,3.1870000000000003,7.900600000000001,771612,21.188,25.34019489,68.56683074,6.092974372999999,1.5,0.654,274,6.769641976852503,0,13.277745298942332,9.07206597765261,13.556237111992312,3.0534349836822803,5.6131281063880705
South America,Bolivia,-16.2902,-63.5887,269302,12165,0.04517233440524021,864692,0.119,1.1,13.05,25.383,6885.829000000001,6.2298,11.7768,11673029,10.202,30.625261660000003,62.036106700000005,7.338631646,7.1,0.718,1181,12.503588705433827,9.406318255217624,13.670128653142106,8.837220810595644,16.272791524997345,2.322583779500735,7.074116816197362
Europe,Bosnia and Herzegovina,43.9159,17.679100000000002,162032,6220,0.03838747901649057,764199,0.32999999999999996,3.5,21.62,97.164,11713.894999999999,8.9317,15.4748,3280815,68.49600000000001,14.69375947,68.10508936999999,17.201151170000003,0.2,0.7799999999999999,1053,11.995549125572067,8.735525185733225,13.54658350543611,9.368531022976294,15.00360242510513,4.22677534940259,6.959398512133975
